ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.60438139,0.268925675,0.980683341,0.134977479,0.84092188,0.121082492,0.27999646,0.076788384,0.260727017,0.39708466,0.805593529,0.243784499,0.101060663,0.058992847,0.777054526,0.121082492,1
0.028382657,0.181049763,0.992426175,0.167723506,0.624341679,0.295745347,0.742613409,0.12166788,0.669643059,0.611205876,0.552673954,0.319823255,0.105168032,0.069270833,0.125694526,0.295745347,1
0.006513512,0.258865551,0.992349089,0.238525824,0.47245667,0.488927954,0.863503927,0.226786876,0.820465588,0.756895021,0.451717561,0.494575284,0.093220115,0.05215324,0.030115052,0.488927954,1
0.549347841,0.286366458,0.952123964,0.067990666,0.820321463,0.101219083,0.298166122,0.038890997,0.282219743,0.437146295,0.778036227,0.271206824,0.032431071,0.013680452,0.740337598,0.101219083,1
0.878289982,0.158684516,0.823246206,0.011151295,0.95188026,0.039044354,0.088448425,0.006003508,0.079323236,0.156317619,0.941404375,0.096062567,0.003458216,0.000835213,0.937123205,0.039044354,1
0.012198706,0.347565994,0.992945646,0.334505642,0.527515848,0.419230727,0.819841446,0.249072714,0.767756661,0.740254567,0.482033606,0.486248011,0.22027172,0.129830677,0.053094602,0.419230727,1
0.022005318,0.148079722,0.98910517,0.110706035,0.616479668,0.277915446,0.740882917,0.086815941,0.669617032,0.601387953,0.550187397,0.305571689,0.051929183,0.029332021,0.095218828,0.277915446,1
0.022936248,0.311595615,0.986383016,0.201153131,0.549087899,0.334438971,0.770665931,0.149573451,0.726236693,0.727274127,0.489975241,0.458774777,0.094499638,0.050868368,0.109801372,0.334438971,1
0.008784204,0.530969111,0.984381787,0.31148181,0.457940077,0.45768705,0.845629214,0.251318182,0.817371522,0.823114592,0.434570759,0.621188089,0.167891957,0.094932266,0.04342626,0.45768705,1
0.845448559,0.162348707,0.916782398,0.023328551,0.94197873,0.045599775,0.108331563,0.012692562,0.097000205,0.181831813,0.927470685,0.104534623,0.012281071,0.004826882,0.919384433,0.045599775,1
0.010265211,0.423137037,0.990777284,0.350414206,0.477888837,0.459453001,0.843229272,0.27329867,0.806350075,0.803191449,0.444239872,0.575536213,0.200914493,0.114504393,0.046631592,0.459453001,1
0.009810424,0.382156109,0.994635859,0.421054564,0.498199263,0.507510616,0.861590296,0.332663126,0.812453294,0.774393523,0.460148214,0.53165547,0.253404112,0.152102085,0.046793099,0.507510616,1
0.840084105,0.12597064,0.80294003,0.007968255,0.940887222,0.03850812,0.107340361,0.004354525,0.097150291,0.183194597,0.925809738,0.09798209,0.001959337,0.000416358,0.916442662,0.03850812,1
0.008503768,0.321388743,0.993458691,0.321680151,0.487649556,0.480449417,0.855338776,0.267300291,0.808503294,0.763719675,0.45896057,0.512495325,0.156855626,0.081654717,0.037576353,0.480449417,1
0.005973169,0.366446648,0.998559694,0.608081199,0.455662893,0.665622523,0.916913656,0.520210588,0.866688022,0.808236825,0.435106599,0.5786171,0.382349362,0.260321114,0.035678606,0.665622523,1
0.669217169,0.339868386,0.960621197,0.095691351,0.869116851,0.096995421,0.230043569,0.053515089,0.2136398,0.350542994,0.839308943,0.23761408,0.059618342,0.028466335,0.817700823,0.096995421,1
0.889032942,0.100426749,0.863891896,0.009071208,0.959585773,0.03718144,0.080810573,0.00504455,0.071901975,0.135222324,0.948992862,0.071008823,0.002742472,0.000647353,0.942839279,0.03718144,1
0.008334529,0.330116479,0.993274304,0.325747635,0.490238692,0.503277332,0.862662127,0.279897734,0.81390158,0.7622835,0.460369818,0.513040055,0.146741915,0.078036603,0.035998703,0.503277332,1
0.008518696,0.345409417,0.987649399,0.238100425,0.484475098,0.417488894,0.829586934,0.196694012,0.790429578,0.765046936,0.459312057,0.520659738,0.131726524,0.08096217,0.033528144,0.417488894,1
0.905116926,0.144839134,0.812747963,0.009627088,0.963291818,0.036191032,0.071280558,0.005177243,0.063046705,0.125799171,0.955098618,0.077684169,0.003261433,0.000892614,0.951344001,0.036191032,1
0.013373606,0.232637158,0.989929552,0.182718313,0.543606413,0.343126407,0.786877008,0.142359702,0.733937304,0.689112043,0.500631197,0.410743048,0.104163786,0.062965643,0.061475817,0.343126407,1
0.009520953,0.276168046,0.996495931,0.361944747,0.516196233,0.489211866,0.857163155,0.29292531,0.797000011,0.731523783,0.478199318,0.464796832,0.199427388,0.110884248,0.044992438,0.489211866,1
0.008695237,0.616142938,0.985553943,0.381891634,0.436984661,0.507747014,0.863382516,0.311019691,0.841099065,0.864212367,0.416288468,0.694193171,0.191485179,0.105214733,0.043689605,0.507747014,1
0.692519071,0.229069259,0.960451876,0.064257372,0.883427486,0.081742425,0.209586422,0.035996293,0.193322822,0.316375698,0.854536568,0.189966943,0.034367269,0.014591882,0.831808288,0.081742425,1
0.015564047,0.306843745,0.992531548,0.286484399,0.524226715,0.391048557,0.803094234,0.213342644,0.757412381,0.746280523,0.475826434,0.483496122,0.168095979,0.10025911,0.063632567,0.391048557,1
0.041588815,0.198308173,0.983217692,0.110458855,0.662555777,0.211940131,0.668377078,0.073446996,0.601820073,0.578586923,0.581588583,0.293744302,0.060610588,0.032593739,0.130973024,0.211940131,1
0.011356662,0.279372791,0.990041149,0.220877087,0.538244651,0.375777382,0.803456716,0.172985833,0.7506287,0.699205772,0.496095131,0.428964362,0.172224159,0.144921586,0.042435076,0.375777382,1
0.018675918,0.158702801,0.992300493,0.145718427,0.592086857,0.302795503,0.760748806,0.111572676,0.693721916,0.625611184,0.533577983,0.330493528,0.079810534,0.051001099,0.076596976,0.302795503,1
0.012368536,0.205259435,0.993905186,0.212825204,0.544774903,0.383801049,0.810055401,0.17160669,0.748845766,0.674312026,0.501817357,0.389066133,0.112526784,0.068864155,0.058456382,0.383801049,1
0.01630808,0.206991955,0.995020498,0.235932627,0.58581433,0.365861414,0.793764821,0.178094047,0.721038223,0.653557737,0.525969238,0.366938759,0.148602978,0.092287622,0.069770943,0.365861414,1
0.62630852,0.316853246,0.945070208,0.066565024,0.850905841,0.090361484,0.250950129,0.037378079,0.235649586,0.384199091,0.816126591,0.248675728,0.035207002,0.015995347,0.790879419,0.090361484,1
0.008415351,0.314965088,0.996496348,0.41277655,0.495017008,0.487124117,0.854598358,0.319032107,0.803642516,0.75125034,0.467070038,0.497462552,0.307075253,0.221288472,0.041136434,0.487124117,1
0.011048537,0.450196015,0.979703452,0.217707318,0.472974278,0.390876579,0.814447807,0.175812103,0.787696442,0.802927321,0.442949927,0.579230163,0.099025003,0.051467312,0.057238687,0.390876579,1
0.006302568,0.378319406,0.997760754,0.569118018,0.457084322,0.647993697,0.912635839,0.488250396,0.86391415,0.802106225,0.437868209,0.573539371,0.335635573,0.205304435,0.041549188,0.647993697,1
0.692743384,0.220289125,0.975532586,0.092074158,0.879993855,0.098472948,0.220964708,0.052177462,0.204057197,0.321097646,0.853951043,0.195895618,0.05748159,0.029039256,0.832074463,0.098472948,1
0.010675634,0.31268066,0.993175218,0.306251567,0.495086271,0.46273449,0.846937174,0.251428909,0.800319243,0.764661404,0.458106636,0.507093473,0.163786312,0.099311547,0.054107238,0.46273449,1
0.032049769,0.207756911,0.994243299,0.221439369,0.639090861,0.311352822,0.747149555,0.154434971,0.667409139,0.607332748,0.561515151,0.318919363,0.176658385,0.147213752,0.117453949,0.311352822,1
0.012539183,0.311052769,0.981427467,0.160810399,0.523585098,0.351398222,0.794520449,0.132864878,0.749816376,0.729279867,0.480117276,0.464555184,0.071097355,0.035972752,0.061066175,0.351398222,1
0.874895462,0.120495185,0.883492813,0.012620853,0.954584671,0.037683261,0.08698154,0.006873892,0.076945679,0.148686571,0.942333302,0.078630257,0.005887287,0.00211194,0.935282837,0.037683261,1
0.006355247,0.484252901,0.986450656,0.313682815,0.451351169,0.507623898,0.869996312,0.274795066,0.840799945,0.82611049,0.431909412,0.620914414,0.15599857,0.086116421,0.033471176,0.507623898,1
0.014958203,0.243540128,0.996192864,0.309607979,0.556457032,0.4254659,0.82352123,0.2385118,0.756174972,0.688508374,0.502306346,0.405901488,0.244718385,0.208279656,0.079228524,0.4254659,1
0.015135204,0.185964455,0.991691408,0.163648744,0.58029019,0.341986368,0.786187688,0.131998904,0.71969751,0.643996416,0.524685934,0.353703492,0.082426925,0.052311027,0.059514622,0.341986368,1
0.632336545,0.363485141,0.956072513,0.093079175,0.847261406,0.111295542,0.261077421,0.053199908,0.246940572,0.394130981,0.816790203,0.278648716,0.044817233,0.017095258,0.794879668,0.111295542,1
0.900529257,0.065993923,0.767257733,0.003553697,0.967453899,0.031025702,0.067292472,0.002051748,0.058785316,0.112964031,0.956724783,0.049362535,0.000821244,0.000155691,0.948891869,0.031025702,1
0.004328556,0.712047947,0.985217184,0.434349299,0.389090459,0.581182685,0.894705589,0.3760225,0.884810798,0.900517787,0.394281826,0.773033919,0.240050087,0.136440889,0.021733297,0.581182685,1
0.015218215,0.183279032,0.998312676,0.294724565,0.580885055,0.400285249,0.810371321,0.22138756,0.735024706,0.653844256,0.523660477,0.363181085,0.204850046,0.143692395,0.067093208,0.400285249,1
0.880760577,0.148302467,0.830715114,0.010865134,0.954161821,0.039334057,0.087157626,0.005899662,0.078276942,0.151048021,0.943534537,0.091843263,0.003105908,0.000698349,0.938440102,0.039334057,1
0.004532701,0.435253592,0.993250731,0.428721411,0.411311814,0.647508596,0.918407859,0.412577097,0.887027177,0.83920189,0.412915639,0.639995086,0.18565999,0.103095235,0.033883108,0.647508596,1
0.009970772,0.325415945,0.989236797,0.245177173,0.498771063,0.398288981,0.818789415,0.193510499,0.778023915,0.756396136,0.465922546,0.502515096,0.152389183,0.098081967,0.043637324,0.398288981,1
0.022531508,0.198338563,0.980741135,0.099786301,0.590189638,0.253836993,0.727448474,0.075391339,0.673482785,0.634812154,0.530858182,0.345162142,0.050734213,0.030905279,0.093872723,0.253836993,1
0.913709644,0.07641968,0.814987048,0.005138315,0.968313764,0.032934781,0.06419117,0.002924711,0.056658464,0.10995441,0.96074406,0.056593177,0.001299586,0.000266872,0.955850762,0.032934781,1
