ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.065323842,0.339520444,0.979159977,0.168436361,0.595678354,0.245629046,0.671062575,0.121960466,0.630704179,0.701105309,0.522094762,0.439585118,0.153059599,0.094416113,0.234275762,0.245629046,1
0.957642049,0.024148343,0.650168899,0.000894527,0.985640528,0.027995813,0.033140987,0.00081538,0.028204461,0.058186478,0.981136403,0.02191376,0.00020008,2.92E-05,0.978580924,0.027995813,1
0.028382657,0.181049763,0.991826971,0.171806503,0.624341679,0.308376818,0.746978768,0.139519537,0.671021958,0.621602446,0.552673954,0.334475286,0.162676569,0.115841936,0.125694526,0.308376818,1
0.006513512,0.258865551,0.991749931,0.244332405,0.47245667,0.509810376,0.868579925,0.260062064,0.822155054,0.769769753,0.451717561,0.517233211,0.144195229,0.087216106,0.030115052,0.509810376,1
0.549347841,0.286366458,0.951549093,0.069645805,0.820321463,0.105542214,0.299918854,0.044597259,0.282800877,0.444582124,0.778036227,0.283631595,0.0501652,0.022877883,0.740337598,0.105542214,1
0.019236627,0.212702194,0.988818719,0.165901842,0.587534706,0.312942021,0.760124879,0.136946339,0.695547464,0.665102058,0.527340653,0.384468853,0.142976012,0.096299492,0.067227019,0.312942021,1
0.878289982,0.158684516,0.822749149,0.011422758,0.95188026,0.040711963,0.088968358,0.00688437,0.079486575,0.158976571,0.941404375,0.100463471,0.005349256,0.001396731,0.937123205,0.040711963,1
0.022005318,0.148079722,0.988507971,0.11340102,0.616479668,0.289785391,0.745238103,0.099553966,0.670995877,0.611617521,0.550187397,0.319570813,0.080325372,0.049052074,0.095218828,0.289785391,1
0.008295117,0.25192932,0.997752104,0.41717327,0.520088691,0.516807398,0.862595076,0.36717307,0.794735777,0.72499364,0.486325932,0.463701684,0.460664891,0.334091265,0.033016015,0.516807398,1
0.955250703,0.027766587,0.802786532,0.001802073,0.983807538,0.028864529,0.035376224,0.001364659,0.030186706,0.06409187,0.978905112,0.024968454,0.000725962,0.000172155,0.977357548,0.028864529,1
0.022936248,0.311595615,0.98578746,0.206049926,0.549087899,0.348723072,0.775196193,0.171519538,0.727732127,0.73964501,0.489975241,0.479792579,0.146174427,0.085067408,0.109801372,0.348723072,1
0.008784204,0.530969111,0.98378744,0.319064404,0.457940077,0.477235154,0.850600138,0.288192713,0.819054617,0.837115714,0.434570759,0.649646516,0.259699519,0.15875567,0.04342626,0.477235154,1
0.010153633,0.363457176,0.990896848,0.323239373,0.507229515,0.442268378,0.832452084,0.275957585,0.783943778,0.763165772,0.47375938,0.528915359,0.332424327,0.239747364,0.043803433,0.442268378,1
0.015299297,0.306345924,0.994949826,0.375105715,0.551994125,0.437542035,0.821252882,0.305447531,0.754417078,0.726827596,0.49829084,0.471035349,0.389804669,0.266621453,0.063920518,0.437542035,1
0.014581058,0.307310128,0.989219791,0.245515029,0.535477757,0.389789671,0.804325894,0.20909027,0.751325297,0.740183042,0.486580548,0.483867956,0.185644741,0.099583949,0.068662432,0.389789671,1
