ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.065705892,0.359331567,0.979159977,0.168436361,0.597177853,0.257241599,0.67861451,0.131777608,0.647626171,0.689379019,0.523662519,0.421216418,0.098950801,0.05645868,0.234959885,0.257241599,1
0.607916145,0.284617571,0.980091226,0.138263319,0.84303873,0.132222886,0.284811902,0.09514307,0.268273687,0.39708466,0.808012582,0.244299395,0.101060663,0.058992847,0.779323649,0.132222886,1
0.963242866,0.025557406,0.650168899,0.000894527,0.988121678,0.029319365,0.033513946,0.000881013,0.028961195,0.057213284,0.98408258,0.020998062,0.000129349,1.75E-05,0.981438536,0.029319365,1
0.028548655,0.191614073,0.991826971,0.171806503,0.625913332,0.322955884,0.755385041,0.150750087,0.689025689,0.611205876,0.554333535,0.320498752,0.105168032,0.069270833,0.126061574,0.322955884,1
0.552560729,0.30307603,0.951549093,0.069645805,0.822386455,0.110531911,0.30329405,0.048187091,0.290388514,0.437146295,0.78037253,0.271779638,0.032431071,0.013680452,0.742499502,0.110531911,1
0.019349133,0.225113433,0.988818719,0.165901842,0.589013705,0.327736916,0.768679094,0.147969761,0.714209223,0.653977938,0.528924163,0.368403265,0.09243191,0.057584898,0.067423332,0.327736916,1
0.01227005,0.367846577,0.992346128,0.342648719,0.528843762,0.45780274,0.833941263,0.308608429,0.789979163,0.740254567,0.483481066,0.487275012,0.22027172,0.129830677,0.053249647,0.45780274,1
0.022134018,0.156720219,0.988507971,0.11340102,0.618031531,0.303485514,0.753624787,0.107567509,0.688998909,0.601387953,0.551839511,0.306217085,0.051929183,0.029332021,0.095496882,0.303485514,1
0.008343632,0.266629474,0.997752104,0.41717327,0.521397909,0.541240394,0.87230246,0.39672847,0.816058789,0.712867808,0.487786281,0.444325238,0.297813143,0.199778949,0.033112427,0.541240394,1
0.960837535,0.029386776,0.802786532,0.001802073,0.986284073,0.030229151,0.035774337,0.001474507,0.030996625,0.063019906,0.981844588,0.023925111,0.000469324,0.000102945,0.980211587,0.030229151,1
0.023070392,0.329777315,0.98578746,0.206049926,0.550470116,0.36520958,0.783920017,0.185325911,0.74725741,0.727274127,0.491446549,0.459743752,0.094499638,0.050868368,0.110122009,0.36520958,1
0.008835579,0.561951322,0.98378744,0.319064404,0.459092848,0.499797301,0.860172535,0.311390631,0.841030111,0.823114592,0.435875697,0.622500096,0.167891957,0.094932266,0.043553071,0.499797301,1
0.010213017,0.384665015,0.990896848,0.323239373,0.508506363,0.463177409,0.841820248,0.298170642,0.804977237,0.750401495,0.475181995,0.506813865,0.214907485,0.14336345,0.043931346,0.463177409,1
0.015388775,0.324221303,0.994949826,0.375105715,0.553383658,0.458227619,0.830495013,0.330034366,0.774658327,0.71467109,0.499787117,0.451352456,0.252003041,0.159433542,0.064107176,0.458227619,1
0.014666336,0.325241769,0.989219791,0.245515029,0.536825714,0.408217677,0.813377535,0.225920879,0.771483592,0.72780316,0.488041662,0.463648834,0.120016621,0.059548928,0.068862937,0.408217677,1
0.008553502,0.340141876,0.992858863,0.329511009,0.488877115,0.524653958,0.870049084,0.331192934,0.831905195,0.763719675,0.460338746,0.513577763,0.156855626,0.081654717,0.037686082,0.524653958,1
0.006008103,0.387828923,0.997956787,0.622884095,0.456809932,0.726864219,0.932682942,0.644556242,0.891774063,0.808236825,0.436413146,0.579839193,0.382349362,0.260321114,0.035782793,0.726864219,1
0.673131119,0.359699812,0.960041196,0.098020824,0.871304676,0.105919645,0.23399991,0.066306771,0.219823544,0.350542994,0.841829238,0.238115944,0.059618342,0.028466335,0.82008864,0.105919645,1
0.894232496,0.106286681,0.863370298,0.009292034,0.962001336,0.04060238,0.082200371,0.006250346,0.073983158,0.135222324,0.951842517,0.0711588,0.002742472,0.000647353,0.94559252,0.04060238,1
0.008568518,0.365564163,0.987053079,0.24389665,0.485694665,0.455900648,0.843854356,0.243709675,0.81330834,0.765046936,0.460691289,0.52175942,0.131726524,0.08096217,0.033626051,0.455900648,1
0.910410547,0.153290542,0.812257244,0.009861446,0.965716709,0.039520847,0.072506457,0.006414756,0.064871575,0.125799171,0.957966608,0.077848245,0.003261433,0.000892614,0.954122077,0.039520847,1
0.013451823,0.246211608,0.989331855,0.187166338,0.544974832,0.374696318,0.800409895,0.176387864,0.755180914,0.689112043,0.502134502,0.411610575,0.104163786,0.062965643,0.061655337,0.374696318,1
0.009576637,0.292282537,0.995894269,0.370755791,0.517495652,0.53422261,0.871904839,0.362943087,0.820068953,0.731523783,0.479635265,0.465778526,0.199427388,0.110884248,0.045123823,0.53422261,1
0.814121314,0.170855794,0.940052342,0.032380706,0.933207221,0.058587009,0.134983502,0.021565784,0.123103213,0.209790402,0.915511705,0.119319771,0.017350727,0.007820162,0.902134543,0.058587009,1
0.008746091,0.652095068,0.984958888,0.391188258,0.438084681,0.554463114,0.878231163,0.385362559,0.865444441,0.864212367,0.417538508,0.695659372,0.191485179,0.105214733,0.043817185,0.554463114,1
0.015655075,0.324748172,0.99193228,0.293458466,0.52554635,0.427027623,0.816906029,0.264337821,0.77933547,0.746280523,0.477255255,0.484517311,0.168095979,0.10025911,0.063818384,0.427027623,1
0.946959886,0.088739455,0.755155424,0.004407287,0.979596542,0.033248675,0.047095608,0.002990683,0.041309375,0.084532767,0.975008907,0.047604513,0.001304252,0.00034484,0.973104996,0.033248675,1
0.009619466,0.375688493,0.983339484,0.20905871,0.498284492,0.440902854,0.837401122,0.214860095,0.807023752,0.757796604,0.468065428,0.511805531,0.093363214,0.051061715,0.045261795,0.440902854,1
0.889976314,0.132755587,0.899472066,0.015550115,0.960678118,0.042144877,0.083697548,0.010241691,0.074626968,0.139596706,0.949754087,0.075884601,0.007878751,0.003123875,0.943324586,0.042144877,1
0.012440874,0.217236386,0.993305089,0.218006139,0.546146263,0.419113297,0.823986916,0.212625744,0.770520897,0.674312026,0.503324224,0.389887877,0.112526784,0.068864155,0.058627084,0.419113297,1
0.008034943,0.417493447,0.990391182,0.339235861,0.487376094,0.513254798,0.865772439,0.331490144,0.830527314,0.770653714,0.461131117,0.537605668,0.206867835,0.130107948,0.040291926,0.513254798,1
0.629971517,0.335341731,0.944499597,0.068185458,0.853047823,0.098675341,0.255266026,0.046312541,0.242470398,0.384199091,0.818577272,0.249200954,0.035207002,0.015995347,0.793188913,0.098675341,1
0.021426599,0.488025369,0.981539541,0.251290958,0.568255106,0.375730078,0.786254999,0.217543898,0.742446584,0.72408581,0.505807007,0.486817166,0.144551575,0.082070635,0.090267753,0.375730078,1
0.006339429,0.40039446,0.997158329,0.582972409,0.458234938,0.707613425,0.928331555,0.604956623,0.888919903,0.802106225,0.439183048,0.574750739,0.335635573,0.205304435,0.041670518,0.707613425,1
0.010738071,0.330925673,0.992575562,0.313706838,0.496332551,0.505309139,0.861502989,0.311527824,0.823484259,0.764661404,0.459482248,0.508164502,0.163786312,0.099311547,0.05426524,0.505309139,1
0.005686392,0.605381336,0.985244123,0.368189533,0.409333103,0.569598173,0.890567583,0.378659808,0.885877603,0.860312945,0.41069043,0.69018518,0.179217982,0.099810418,0.035974346,0.569598173,1
