ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.065323842,0.339520444,0.979159977,0.164433456,0.595678354,0.235567796,0.667140872,0.106355509,0.62940813,0.689583269,0.522094762,0.420328645,0.144882933,0.097400111,0.234275762,0.235567796,1
0.957642049,0.024148343,0.650168899,0.000873268,0.985640528,0.026849072,0.03294731,0.000711051,0.028146503,0.057230236,0.981136403,0.020953805,0.000189392,3.02E-05,0.978580924,0.026849072,1
0.006513512,0.258865551,0.991749931,0.238525824,0.47245667,0.488927954,0.863503927,0.226786876,0.820465588,0.757119275,0.451717561,0.494575284,0.13649211,0.089972549,0.030115052,0.488927954,1
0.019236627,0.212702194,0.988818719,0.161959171,0.587534706,0.300123554,0.755682694,0.119423925,0.694118167,0.6541717,0.527340653,0.367626803,0.135338026,0.099343013,0.067227019,0.300123554,1
0.878289982,0.158684516,0.822749149,0.011151295,0.95188026,0.039044354,0.088448425,0.006003508,0.079323236,0.156363933,0.941404375,0.096062567,0.005063491,0.001440875,0.937123205,0.039044354,1
0.022005318,0.148079722,0.988507971,0.110706035,0.616479668,0.277915446,0.740882917,0.086815941,0.669617032,0.601566134,0.550187397,0.305571689,0.076034275,0.050602353,0.095218828,0.277915446,1
0.008295117,0.25192932,0.997752104,0.407259111,0.520088691,0.49563837,0.857554053,0.320192928,0.793102655,0.713079018,0.486325932,0.44338876,0.436055505,0.344650136,0.033016015,0.49563837,1
0.955250703,0.027766587,0.802786532,0.001759246,0.983807538,0.027682204,0.035169485,0.00119005,0.030124675,0.063038578,0.978905112,0.023874685,0.00068718,0.000177596,0.977357548,0.027682204,1
0.008784204,0.530969111,0.98378744,0.31148181,0.457940077,0.45768705,0.845629214,0.251318182,0.817371522,0.823358466,0.434570759,0.621188089,0.245825994,0.163773103,0.04342626,0.45768705,1
0.845448559,0.162348707,0.916228865,0.023328551,0.94197873,0.045599775,0.108331563,0.012692562,0.097000205,0.181885687,0.927470685,0.104534623,0.017981841,0.008327132,0.919384433,0.045599775,1
0.010265211,0.423137037,0.990179075,0.350414206,0.477888837,0.459453001,0.843229272,0.27329867,0.806350075,0.80342942,0.444239872,0.575536213,0.294177314,0.197538103,0.046631592,0.459453001,1
0.009810424,0.382156109,0.994035321,0.421054564,0.498199263,0.507510616,0.861590296,0.332663126,0.812453294,0.774622962,0.460148214,0.53165547,0.371032174,0.26240004,0.046793099,0.507510616,1
0.010153633,0.363457176,0.990896848,0.315557561,0.507229515,0.424152554,0.827587217,0.24064855,0.782332833,0.750623825,0.47375938,0.505745683,0.314665737,0.24732452,0.043803433,0.424152554,1
0.015299297,0.306345924,0.994949826,0.366191294,0.551994125,0.419619808,0.816453464,0.26636523,0.752866809,0.714882834,0.49829084,0.450401166,0.368980738,0.275047957,0.063920518,0.419619808,1
0.840084105,0.12597064,0.802455233,0.007968255,0.940887222,0.03850812,0.107340361,0.004354525,0.097150291,0.183248874,0.925809738,0.09798209,0.002868844,0.000718283,0.916442662,0.03850812,1
0.014581058,0.307310128,0.989219791,0.239680343,0.535477757,0.373823436,0.799625398,0.182336972,0.74978138,0.728018795,0.486580548,0.462671628,0.17572733,0.102731274,0.068662432,0.373823436,1
0.669217169,0.339868386,0.960041196,0.095691351,0.869116851,0.096995421,0.230043569,0.053515089,0.2136398,0.350646853,0.839308943,0.23761408,0.087292676,0.049108909,0.817700823,0.096995421,1
0.889032942,0.100426749,0.863370298,0.009071208,0.959585773,0.03718144,0.080810573,0.00504455,0.071901975,0.135262388,0.948992862,0.071008823,0.004015505,0.001116786,0.942839279,0.03718144,1
0.008334529,0.330116479,0.992674588,0.325747635,0.490238692,0.503277332,0.862662127,0.279897734,0.81390158,0.762509351,0.460369818,0.513040055,0.21485828,0.134625425,0.035998703,0.503277332,1
0.80938757,0.161435956,0.940052342,0.031611175,0.93086396,0.05365078,0.132701275,0.017405385,0.11964026,0.209852559,0.912770818,0.119068288,0.02540479,0.01349101,0.899507837,0.05365078,1
0.008695237,0.616142938,0.984958888,0.381891634,0.436984661,0.507747014,0.863382516,0.311019691,0.841099065,0.864468417,0.416288468,0.694193171,0.280370992,0.181511978,0.043689605,0.507747014,1
