ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.067795627,0.0577511,0.978127,0.0660516,0.537771548,0.110734575,0.6057236,0.034077813,0.5374562,0.5191887,0.522426411,0.1683619,0.0627503,0.0369072,0.239798014,0.110734575,1
0.647730042,0.0430321,0.9797258,0.0523771,0.841924551,0.046974281,0.2266756,0.023550146,0.1967503,0.2687807,0.828563291,0.0866629,0.0644588,0.0392784,0.80407364,0.046974281,1
0.955394039,0.0033261,0.6876784,0.0003184,0.984113345,0.003776263,0.0290886,0.000145941,0.0232757,0.0402799,0.979590835,0.0072116,0.0000753,0.0000103,0.977378226,0.003776263,1
0.026201804,0.0306909,0.9907501,0.066969,0.565565252,0.14276015,0.6792026,0.038981771,0.5766126,0.4616224,0.550999162,0.128828,0.0665938,0.0452577,0.115123319,0.14276015,1
0.579757949,0.0452956,0.9509066,0.0255702,0.809317063,0.038692835,0.253233,0.011559772,0.2243929,0.3103269,0.791826853,0.1009268,0.0200344,0.0089237,0.760206608,0.038692835,1
0.019238872,0.0365739,0.9877469,0.0656359,0.530896427,0.145176384,0.6901201,0.038713951,0.5955552,0.4931974,0.526508204,0.1473467,0.0587523,0.0379381,0.062937929,0.145176384,1
0.010256877,0.0589352,0.9912814,0.1337099,0.442526353,0.211714463,0.7544028,0.081223649,0.667198,0.5635007,0.473444494,0.1990831,0.1376121,0.0837113,0.043678332,0.211714463,1
0.020411616,0.0252776,0.9873369,0.0442871,0.552921155,0.133436669,0.6775852,0.027841859,0.5766534,0.4556799,0.546917369,0.1240109,0.0329373,0.0192784,0.088695469,0.133436669,1
0.007658895,0.041691,0.9968922,0.1629491,0.45274219,0.245095452,0.7823449,0.102716315,0.6794684,0.5346465,0.485689973,0.1757577,0.1891056,0.1309278,0.027689065,0.245095452,1
0.948289053,0.004437,0.811341,0.0006964,0.980404334,0.004289908,0.0336508,0.000305952,0.0270344,0.0481574,0.975509042,0.0092444,0.0002925,0.0000655,0.973724662,0.004289908,1
0.017923675,0.0532926,0.9843656,0.0797039,0.465751384,0.165890148,0.7124875,0.048248146,0.633788,0.5536602,0.48160818,0.1879922,0.0592828,0.0330928,0.087433562,0.165890148,1
0.008248418,0.0907345,0.9825712,0.1246716,0.375260895,0.226436472,0.7722399,0.080861122,0.7020149,0.6214088,0.432626263,0.2501473,0.1060772,0.0620619,0.044236138,0.226436472,1
0.009007405,0.0627375,0.9895685,0.126178,0.424954771,0.212383535,0.7598846,0.078102621,0.6763587,0.5706948,0.469362701,0.2067236,0.1346389,0.0928866,0.039711423,0.212383535,1
0.014505883,0.0525099,0.9937962,0.1467152,0.484372889,0.205432659,0.7446949,0.085335548,0.6463404,0.5393934,0.497935452,0.181276,0.1598606,0.1041237,0.06048631,0.205432659,1
0.013594039,0.0521847,0.9881236,0.0957878,0.465473362,0.182101587,0.7297457,0.058330981,0.6434919,0.5470577,0.485689973,0.1852995,0.076179,0.0389691,0.064835953,0.182101587,1
0.008154482,0.053614,0.9913619,0.1224493,0.418450917,0.227116956,0.7723846,0.080336084,0.686142,0.5698867,0.461199015,0.2017734,0.0988556,0.0539175,0.034773591,0.227116956,1
0.005796891,0.0609013,0.9970649,0.2434562,0.388913664,0.328118153,0.8328174,0.165324177,0.7374254,0.601519,0.440789849,0.2257159,0.2451413,0.1721649,0.033788732,0.328118153,1
0.687123933,0.0504027,0.9563882,0.0316904,0.859094242,0.034995215,0.1961212,0.014059355,0.1707923,0.2493124,0.848972456,0.086054,0.0304873,0.0148454,0.82823467,0.034995215,1
0.885817839,0.0184395,0.8527624,0.0036836,0.953312254,0.009161157,0.0734346,0.001556143,0.0613776,0.1012282,0.951018083,0.0293,0.001759,0.0004313,0.940990788,0.009161157,1
0.009187173,0.0567087,0.9865518,0.0950496,0.428165218,0.198400788,0.7501327,0.061507912,0.6674152,0.5647439,0.469362701,0.2000838,0.0847429,0.0539175,0.039056554,0.198400788,1
0.900254996,0.0227962,0.8238814,0.0038266,0.956711363,0.008628727,0.0655806,0.001583945,0.0545626,0.095317,0.955099876,0.0304379,0.0020827,0.0005945,0.948664705,0.008628727,1
0.012038651,0.0392715,0.9883167,0.0729491,0.474958436,0.167622362,0.7200646,0.045741063,0.6314929,0.5182777,0.502017245,0.1645129,0.0660059,0.0413402,0.052119221,0.167622362,1
0.009478983,0.0458702,0.9952348,0.1477598,0.451836249,0.241670005,0.7810074,0.095212668,0.6805897,0.546198,0.48160818,0.1825942,0.128154,0.0735052,0.045455731,0.241670005,1
0.811431421,0.0266213,0.9407528,0.0126394,0.921536431,0.017522184,0.1186663,0.005499131,0.1005755,0.1552931,0.914281646,0.046903,0.011087,0.0052327,0.90042547,0.017522184,1
0.007835462,0.1042677,0.9842095,0.1547573,0.351336411,0.257177631,0.7922219,0.10237799,0.7262013,0.6527409,0.412217098,0.2797195,0.119517,0.0679381,0.037726363,0.257177631,1
0.013058236,0.0525354,0.9906805,0.1140843,0.446947159,0.194663376,0.7397335,0.068873749,0.6569429,0.5645676,0.473444494,0.195834,0.1053397,0.0649485,0.053368193,0.194663376,1
0.937658735,0.0126192,0.7733286,0.0016552,0.972788964,0.00564007,0.0421446,0.00068078,0.0343557,0.0637696,0.971427249,0.0181241,0.0007837,0.0002055,0.968239553,0.00564007,1
0.010631319,0.056003,0.9827639,0.0776509,0.448025879,0.185008742,0.7391618,0.051122155,0.6565677,0.5541035,0.477526287,0.1919347,0.0586392,0.0336082,0.047948361,0.185008742,1
0.879273165,0.0208108,0.9016344,0.0061293,0.951331822,0.00988335,0.0756448,0.002598819,0.0625497,0.1052394,0.94693629,0.0300105,0.0050807,0.0021025,0.937478706,0.00988335,1
0.012358672,0.0339103,0.9925382,0.0849167,0.489480808,0.188265735,0.7397655,0.055083644,0.6389603,0.5011258,0.506099038,0.1516854,0.0711419,0.0451546,0.059733779,0.188265735,1
0.007408,0.0657601,0.9896012,0.1325391,0.416793414,0.23280321,0.7773246,0.086088503,0.6913648,0.5769562,0.461199015,0.2122801,0.1312168,0.085567,0.033235038,0.23280321,1
0.674132522,0.0449984,0.9444326,0.0226747,0.854261717,0.030911704,0.1996622,0.010049262,0.1748258,0.2542657,0.84080877,0.0837699,0.0198165,0.0096544,0.820291024,0.030911704,1
0.020783556,0.0774832,0.9808392,0.0987212,0.511782528,0.167866662,0.7069047,0.056640757,0.618675,0.5411231,0.506099038,0.1913827,0.0915736,0.0538144,0.085964396,0.167866662,1
0.007002647,0.0635771,0.9962587,0.2297511,0.389027707,0.316247957,0.825934,0.154867415,0.7331234,0.6001704,0.440789849,0.2257098,0.2161616,0.1371134,0.046366991,0.316247957,1
0.008807229,0.0530549,0.9916268,0.1235826,0.415980147,0.231584741,0.7768128,0.082011706,0.6908994,0.576645,0.457117222,0.2040759,0.1036648,0.0646392,0.044907852,0.231584741,1
0.005167753,0.0960252,0.984281,0.1430177,0.326270701,0.256110145,0.7970256,0.097032901,0.7354759,0.6438038,0.412217098,0.2728308,0.1138877,0.065567,0.030978445,0.256110145,1
0.898461318,0.0121413,0.8951963,0.0033657,0.96135934,0.007307751,0.0625497,0.001431334,0.0511187,0.0861519,0.955099876,0.0202999,0.0024221,0.0008569,0.947689874,0.007307751,1
